state,year,name,topic,subtopic,title,relevant_text,description
Iowa,2004,Iowa Code 388.10,Municipal Broadband,,Municipal utility providing telecommunications services,"1.a. A city that owns or operates a municipal utility providing telecommunications services or such a municipal utility shall not do, directly or indirectly, any of the following: (1) Use general fund moneys for the ongoing support or subsidy of a telecommunications system. (2) Provide any city facilities, equipment, or services to provide telecommunications systems or services at a cost for such facilities, equipment, or services which is less than the reasonable cost of providing such city facilities, equipment, or services. (3) Provide any other city service, other than a communications service, to a telecommunications customer at a cost which is less than would be paid by the same person receiving such other city service if the person was not a telecommunications customer. (4) Use funds or revenue generated from electric, gas, water, sewage, or garbage services provided by the city for the ongoing support of any city telecommunications system. b. For purposes of this section: (1) “Telecommunications system” means a system that provides telecommunications services. (2) “Telecommunications services” means the retail provision of any of the following services: (a) Local exchange telephone services. (b) Long distance telephone services. (c) Internet access services. (d) Cable television services. 2. A city that owns or operates a municipal utility providing telecommunications services or such a municipal utility shall do the following: a. Prepare and maintain records which record the full cost accounting of providing telecommunications services. The records shall show the amount and source of capital for initial construction or acquisition of the telecommunications system or facilities. The records shall be public records subject to the requirements of chapter 22. Information in the records that is not subject to examination or copying as provided in section 388.9, subsection 2, may be expunged from the records prior to public disclosure. This section shall not prohibit a municipal utility from utilizing capital from any lawful source, provided that the reasonable cost of such capital is accounted for as a cost of providing the service. In accounting for the cost of use of any city employees, facilities, equipment, or services, a city or municipal utility may make a reasonable allocation of the cost of use of any city employees, facilities, equipment, or services used by the municipal utility based upon reasonable criteria for the distribution of the cost of use in any manner which is not inconsistent with generally accepted accounting principles. b. Adopt rates for the provision of telecommunications services that reflect the actual cost of providing the telecommunications services. However, this paragraph shall not prohibit the municipal utility from establishing market-based prices for competitive telecommunications services. c. Be subject to all requirements of the city which would apply to any other provider of telecommunications services in the same manner as such requirements would apply to such other provider. For purposes of cable television services, a city that is in compliance with section 364.3, subsection 7, shall be considered in compliance with this paragraph. d. Make an annual certification of compliance with this section. For any year in which the city or municipal utility is not audited in accordance with section 11.6, the city or municipal utility shall contract with or employ the auditor of state or a certified public accountant certified in the state of Iowa to attest to the certification. The attestation report shall be a public record for purposes of chapter 22. 3. This section shall not prohibit the marketing or bundling of other products or services, in addition to telecommunications services. However, a city shall include on a billing statement sent to a person receiving services from the city, a separate charge for each service provided to the person. This subsection does not prohibit the city from also including on the billing statement a total amount to be paid by the person. 4. This section shall not apply to telecommunications services provided directly by a municipal airport.","Prohibits municipal utilities and cities operating municipal utilities that provide telecommunications services, including internet access, from using general fund money to support or subsidize the telecommunications system, deliver any city service to a telecommunications customer at a cost below what the customer would pay without the telecommunications service, or cross-subsidize telecommunications service. Addresses record-keeping and rate requirements. This section does not apply to services provided directly by a municipal airport. "
Iowa,2020,Iowa Code 8B.1,Definition - Unserved,,Definitions,"13. “Targeted service area” means a United States census bureau census block located in this state, including any crop operation located within the census block, within which no communications service provider offers or facilitates broadband service at or above the download and upload speeds identified by the federal communications commission pursuant to section 706 of the federal Telecommunications Act of 1996, as amended.",Defines “targeted service area” as a census block where no provider is offering speeds that exceed the FCC’s definition of broadband.
Iowa,2020,Iowa Code 8B.1,Definition - Underserved,,Definitions,14. “Underserved area” means any portion of a targeted service area within which no communications service provider offers or facilitates broadband service meeting the download and upload speeds specified in the definition of targeted service area in this section.,Defines “underserved” as an area with no broadband providers (as defined by the FCC definition).
Kansas,2020,Kan. Stat. Ann. 68-2314c,Fund - Other,,,"(b) (1) The Eisenhower legacy transportation program shall provide for the construction, improvement, reconstruction and maintenance of the state highway system. The program shall provide for the selection of projects that will allow for the flexibility to meet emerging and economic needs. Program expenditures may include, but may not be limited to, the following...(B) preservation plus projects to efficiently maintain a state highway system and include additional safety or technology elements, or both, in the preservation project. Such additional elements may include, but may not be limited to, adding paved shoulders, adding passing lanes, adding traffic signals, adding intelligent transportation system elements or laying broadband fiber or the conduit for broadband fiber. It is the intent of the legislature that the secretary has the authority to enhance preservation plus projects with the addition of safety or technology improvements, or both. Federal funding from federal grants or federal stimulus may be used for preservation plus projects","Creates the Eisenhower Legacy Transportation Program to be administered by the secretary of transportation, and directs the program to provide for construction, improvement, reconstruction, and maintenance of the state highway system and for selection of projects that will meet emerging and economic needs, including broadband infrastructure construction. "
Kansas,2020,Kan. Stat. Ann. 75-5094,Fund - Broadband,,,(b) There is hereby established in the state treasury the broadband infrastructure construction grant fund. All moneys credited to such fund shall be used to provide grants for the expansion of broadband service in the state of Kansas. All expenditures from such fund shall be made in accordance with the provisions of appropriation acts and upon warrants of the director of accounts and reports issued pursuant to vouchers approved by the secretary of transportation or the secretary's designee.,Establishes the Broadband Infrastructure Construction Grant Fund in the state treasury to provide grants for the expansion of broadband service.
Kansas,2020,Kan. Executive Order No. 20-67,Office,,Establishing the Office of Broadband Development,link to text,"Establishes the Kansas Office of Broadband Development and tasks it with annually evaluating the extent, quality, and affordability of broadband in Kansas, developing strategies to facilitate the construction of broadband infrastructure needed to achieve universal access, and developing and advocating for policies that make high-quality broadband more accessible, affordable, and reliable in underserved and vulnerable communities. "
Kansas,2020,Kan. Executive Order No. 20-67,Agency,,Establishing the Office of Broadband Development,"2. The Office of Broadband Development shall be led by the Director of Broadband Initiatives and shall be supported by such other personnel as the Kansas Department of Commerce shall commit. &para;3. All Kansas executive branch agencies, authorities, and departments shall support the work of, and coordinate with, the Office of Broadband and shall lend support to such work to the greatest extent possible without compromising existing responsibilities of those agencies, authorities, and departments. ","Tasks the Kansas Department of Commerce with overseeing the Office of Broadband Development and orders all executive branch agencies, authorities, and departments to support and coordinate with the office. "
Kentucky,2020,Ky. Rev. Stat. Ann. 224A.011,Definition - Broadband,Speed 3,Definitions for chapter.,"(9) ""Broadband"" means any wireline or fixed terrestrial technology having a capacity to&para;transmit data from or to the Internet with a minimum speed of twenty-five (25)&para;megabits per second downstream and three (3) megabits per second upstream as&para;defined by the Federal Communications Commission or the United States&para;Department of Agriculture and any amendments to those definitions. If the agencies&para;use different speed definitions, the faster speed definition shall apply to KRS&para;224A.110, 224A.112, and 224A.1121","Defines broadband service as any wireline or fixed terrestrial technology able to transmit internet data at a minimum speed of 25 megabits per second (Mbps) for downloads and 3 Mbps for uploads. If state agencies use different speed definitions, the faster speed will apply to Ky. Rev. Stat. Ann. 224A.110, 224A.112, and 224A.1121."
Kentucky,2020,Ky. Rev. Stat. Ann. 224A.011,Definition - Underserved,,Definitions for chapter.,"(44) ""Underserved area"" means any project area where fixed, terrestrial broadband&para;service with a minimum twenty-five (25) megabits per second downstream and&para;three (3) megabits per second upstream is not available",Defines “underserved area” as any project area without available broadband speeds of at least 25 megabits per second (Mbps) for downloads and 3 Mbps for uploads.
Kentucky,2020,Ky. Rev. Stat. Ann. 224A.011,Definition - Unserved,,Definitions for chapter.,"(45) ""Unserved area"" means any project area where fixed, terrestrial broadband service&para;with a minimum ten (10) megabits per second downstream and one (1) megabit per&para;second upstream is not available","Creates in the state treasury the infrastructure revolving fund to provide grants and loans to governmental entities for infrastructure projects including broadband, and the broadband deployment fund, to make grant funds available for construction of broadband infrastructure in underserved or unserved areas. Both funds will be administered by the Kentucky Infrastructure Authority."
Kentucky,2020,Ky. Rev. Stat. Ann. 224A.112,Fund - Broadband,,Creation of infrastructure revolving fund and broadband deployment fund -- Purpose -- Use of moneys.,"(1) The infrastructure revolving fund shall be established in the State Treasury and shall&para;be administered by the authority. The fund shall be a dedicated fund, and all moneys&para;in the fund shall be allocated and dedicated solely to providing financial assistance&para;to governmental agencies, and investor-owned water systems as provided for in&para;KRS 96.540, 224A.306, 224A.308, and 224A.310, for the construction or&para;acquisition of infrastructure projects through an account designated as the 2020&para;water service account.&para;(2) The broadband deployment fund shall be established in the State Treasury and shall&para;be administered by the authority. The fund shall be a dedicated fund, and all moneys&para;in the fund shall be allocated and dedicated solely to providing grant funds to&para;governmental agencies and private sector entities to construct infrastructure for the&para;deployment of broadband service to households and businesses in underserved or&para;unserved areas of the Commonwealth through an account designated as the&para;broadband deployment fund.","Creates in the state treasury the infrastructure revolving fund to provide grants and loans to governmental entities for infrastructure projects including broadband, and the broadband deployment fund, to make grant funds available for construction of broadband infrastructure in underserved or unserved areas. Both funds will be administered by the Kentucky Infrastructure Authority."
Kentucky,2020,Ky. Rev. Stat. Ann. 224A.1121,Agency,,Purpose of broadband deployment account -- Grant program -- Funding criteria and prioritization schedules -- Guidelines and standards for grants -- Applications available to public -- Challenge -- Partial funding -- Administrative regulations.,"(1) The purpose of the broadband deployment fund set forth in KRS 224A.112 shall be&para;to assist governmental agencies and private sector entities to construct infrastructure&para;for the deployment of broadband service to underserved or unserved areas of the&para;Commonwealth. The authority shall manage the fund and may accept and receive&para;appropriations from the General Assembly or other funds or gifts from both public&para;and private sources, including but not limited to local governments and federal&para;agencies.&para;(2) The authority shall establish a grant program that allocates funds from the&para;broadband deployment fund in accordance with this section. Grant funds may be&para;used by government or private sector entities for broadband deployment projects.&para;(3) The grant program shall be developed to give highest funding priority to those&para;projects which most effectively provide broadband service to the greatest number of&para;underserved and unserved Kentucky citizens and at the lowest cost. Funding shall&para;not be used to duplicate broadband service to citizens, households, and businesses&para;in a broadband deployment project area where fixed, terrestrial broadband service&para;meets or exceeds twenty-five (25) megabits per second downstream and three (3)&para;megabits per second upstream.&para;(4) The authority shall develop funding criteria and prioritization schedules for&para;broadband deployment projects in a technology-neutral manner in accordance with&para;this section.&para;(5) The authority shall establish guidelines and standards for applying for and&para;approving grants from the broadband deployment fund. ",States that the broadband deployment fund is aimed at helping local governments and the private sector construct broadband infrastructure in underserved or unserved areas and can receive appropriations from the General Assembly and funds from other public and private sources. Directs the Kentucky Infrastructure Authority to establish a grant program to allocate monies from the fund and to prioritize projects that serve the greatest number of unserved and underserved residents at the lowest cost.
Louisiana,2020,La. Stat. Ann. 51:1361 et seq.,Office,,The Office of Broadband and Connectivity,"A. There is hereby created within the office of the governor the office of broadband and connectivity. The head of the office shall be the executive director of broadband and connectivity who shall be appointed by the governor to serve at his pleasure. The appointment shall be subject to Senate confirmation.&para; B. The executive director shall employ necessary staff to carry out the duties and functions of the office as provided in this Chapter, or as otherwise provided by law.&para; C. On or before February first of each year, the executive director shall prepare and submit to the governor, the House Committee on Commerce, the Senate Committee on Commerce, Consumer Protection, and International Affairs, and the Joint Legislative Committee on Technology and Cybersecurity, a comprehensive report to include, at a minimum, the following information:&para; (1) Activities undertaken by the office during the previous year.&para; (2) Data concerning broadband and other connectivity services in this state and expansion and deployment of these services.&para; (3) An assessment of the current availability and accessibility of broadband and other connectivity services in the state.&para; (4) A mapping initiative to identify availability of broadband to every home and business in the state.&para; (5) Availability and description of public or private grants available for the expansion or enhancement of broadband services and other connectivity services in the state.&para; (6) Recommendations for legislative proposals.&para; (7) Identification of resources to assist the office in performing its functions and duties.&para; D. The governor shall direct that all state agencies provide the executive director with assistance in advancing the purpose of the office and assure that the activities of the office are fully coordinated with the activities of state agencies providing related services...The office of broadband and connectivity, by and through the executive director or his employees, shall have the following functions, powers, and duties:&para; (1) To provide comprehensive information relating to broadband and connectivity in the state upon request to any person or government agency.&para; (2) To promote and encourage broadband adoption for households that have not accessed services.&para; (3) To study and identify barriers to households that have not adopted broadband services.&para; (4) To advise and assist any person or government agency in addressing particular broadband and connectivity needs, including cooperative efforts among such persons and agencies.&para; (5) To establish procedures to review and comment on the federal mapping initiative created by the Broadband DATA Act, P.L. 116-130 that precisely maps the availability of broadband services to every home and business in the state.&para; (6) To research programs relating to broadband and connectivity services and receive notification from every person and government agency engaged in the provision of broadband and connectivity services of program descriptions, appropriation data, and application procedures. The office shall maintain a listing of existing programs and advise persons or government agencies of their existence.&para; (7) To assist, upon request, applicant persons or government agencies in obtaining timely and efficient responses from state and federal agencies; to assist the applicants in consideration of program grant strategies; to assist state and federal agencies in cooperative approaches to address the needs of the applicants; and to provide technical assistance to government agencies in formulating and implementing broadband expansion and connectivity programs.&para; (8) To encourage the assistance of the private sector, including broadband service providers, to effectuate the deployment and access to broadband and other connectivity services to all residents of the state.&para; (9) To assist the governor and the legislature in the development and integration of a broadband deployment plan and long-range plans to more effectively and efficiently provide access to any new connectivity options.&para; (10) To analyze and make recommendations concerning proposed state legislation or programs that may affect the expansion of broadband and other connectivity services.&para; (11) To apply for, receive, and administer grants or financial assistance from persons or government agencies.&para; (12) To adopt and promulgate such rules and regulations, procedures, instructions, and forms as are deemed necessary to implement the functions, powers, and duties imposed upon the office by this Chapter in accordance with the provisions of the Administrative Procedure Act.&para; (13) To do all things necessary or convenient to carry out the functions, powers, and duties expressly set forth in this Chapter.",States that the broadband deployment fund is aimed at helping local governments and the private sector construct broadband infrastructure in underserved or unserved areas and can receive appropriations from the General Assembly and funds from other public and private sources. Directs the Kentucky Infrastructure Authority to establish a grant program to allocate monies from the fund and to prioritize projects that serve the greatest number of unserved and underserved residents at the lowest cost
Louisiana,2019,La. SR No. 177,Task Force,,A Resolution to create the Task Force on Access to Broadband High-Speed Internet Service to study the current impediments to rural access to broadband service and to devise solutions to achieve statewide access to broadband high-speed internet service,"Therefore be it resolved, that the Senate of the Legislature of Louisiana hereby creates the Task Force on Access to Broadband High-Speed Internet Service to study the current impediments to rural access to broadband service in Louisiana and to devise solutions to achieve statewide access to high-speed internet broadband service. Be it further resolved that the task force shall be comprised of the following members: (1) The president of the Senate or his designee, who shall serve as chairman. (2) The chairman of the Louisiana Public Service Commission or his designee. (3) One member appointed by the Northshore Business Council. (4) One member appointed by the Association of Louisiana Electric Cooperatives. (5) The commissioner of the Department of Agriculture and Forestry or his designee. (6) The state's chief information officer for the office of technology services within the division of administration or his designee. (7) The secretary of Department of Economic Development or his designee. (8) One member appointed by the Louisiana Internet and Television Association. (9) One member appointed by the Louisiana Telecommunications Association. (10) One member appointed by the Cellular Telecommunications and Internet Association. (11) One member appointed by the North Louisiana Economic Partnership.",Creates the Task Force on Access to Broadband High-Speed Internet Service to study rural broadband issues and make policy recommendations. Lists the members of the task force.
Louisiana,2020,La. SCR No. 35,Legislative Intent,,"A concurrent resolution to urge and request the Department of Transportation and Development to determine which of its assets are available for broadband internet lines and to implement a ""Dig Once"" policy allowing broadband internet operators to install cable in the ground more economically.","Therefore, be it resolved that the Legislature of Louisiana does hereby urge and request the Department of Transportation and Development to determine which of its assets are available for installation of broadband internet lines and to implement a ""Dig Once"" policy to allow a broadband internet operator to install cable in the ground more economically. &para;Be it further resolved that no later than March 1, 2021, that the Department of Transportation and Development shall prepare a written report of its findings and recommendations to the House of Representatives and to the Senate. &para;Be it further resolved that a copy of this Resolution be transmitted to the secretary of the Department of Transportation and Development. ",Requests that the Department of Transportation and Development determine which of its assets are available for the installation of broadband internet lines; implement a “dig once” policy to allow broadband operators to install cable in the ground more economically; prepare a report of its findings and recommendations to the state’s House of Representatives and Senate; and provide the secretary of transportation and development with a copy of the report.
Louisiana,2020,La. HCR No. 77-78,Legislative Intent,,,"Therefore, be it resolved that the Legislature of Louisiana does hereby urge and request the Broadband for Everyone in Louisiana Commission to identify public and private sector barriers which impede the expeditious expansion of high-speed broadband and wireless telecommunication service in the state and make recommendations on how to remove these barriers.&para;Be it further resolved that the Broadband for Everyone in Louisiana Commission submit a report of its findings to the House Committee on Commerce and the Senate Committee on Commerce, Consumer Protection, and International Affairs on or before January 1, 2021. &para;Therefore, be it resolved that the Legislature of Louisiana does hereby urge and request the Broadband for Everyone in Louisiana Commission within the office of the governor to create and provide broadband maps using open-source software, in cooperation and coordination with the Federal Communications Commission's efforts, to identify access and activation gaps. &para;Be it further resolved that the broadband maps requested by this Resolution be submitted to the House Committee on Commerce and the Senate Committee on Commerce, Consumer Protection, and International Affairs on or before January 1, 2021. ","Requests that the Broadband for Everyone in Louisiana Commission identify public and private sector barriers to expansion of broadband across the state and make recommendations on how to remove those barriers; submit a report of its findings to the House Committee on Commerce and the Senate Committee on Commerce, Consumer Protection, and International Affairs on or before Jan. 1, 2020; create and provide broadband maps using open-source software, in cooperation and coordination with the Federal Communications Commission’s efforts, to identify access and activation gaps; and submit the maps to the House Committee on Commerce and the Senate Committee on Commerce, Consumer Protection, and International Affairs on or before Jan. 1, 2021. "
Louisiana,2020,La. Stat. Ann. 12:430.1 et seq.,Cooperatives,Electric,Cooperatives; provision of broadband services; servitudes," A.(1)(a) Except as provided in Subparagraphs (b) and (c) of this Paragraph, a cooperative shall grant permission to a broadband affiliate or a broadband service provider to use the electric delivery system of the cooperative to provide broadband services. The use of the cooperative's electric delivery system for the provision of broadband services by the broadband affiliate or a broadband service provider shall not be considered an additional burden on the property upon which the cooperative's electric delivery system is located and shall not require the broadband affiliate or broadband service provider to obtain the additional consent from anyone having an interest in the property upon which the cooperative's electric delivery system is located.&para; (b) The provisions of Subparagraph (a) of this Paragraph shall not apply to any property owned or controlled by a railroad company operating in the state.&para; (c) Notwithstanding any provision of law to the contrary, a cooperative providing electric service may deny a broadband affiliate or broadband service provider access to its poles, ducts, conduits, or rights-of-way, on a nondiscriminatory basis where there is insufficient capacity and for reasons of safety, reliability, and generally applicable engineering purposes.&para; (2)(a) If a portion of a cooperative's electric delivery system is used by a broadband affiliate or broadband service provider for the purpose of providing broadband services and the landowner of the property on which such portion is located believes his property has been damaged by such use, the landowner may petition the district court in which the property is situated for any damages to which the landowner may be entitled pursuant to law, subject to the provisions of Subparagraph (b) of this Paragraph.&para; (b) A cooperative or its members shall not be liable for any recoverable damages to property awarded by a court pursuant to the provisions of this Subsection, and the damages shall be the sole responsibility of the broadband affiliate or broadband service provider.&para; B. A cooperative shall provide a broadband affiliate, broadband service provider, or broadband operator with nondiscriminatory access to locate its equipment for the provision of broadband services on the cooperative's electric delivery system on just, reasonable, and nondiscriminatory terms, conditions, and rates.&para; C. Any broadband affiliate, broadband service provider, or broadband operator wishing to attach to a cooperative's electric delivery system shall file written notice with the cooperative. The cooperative shall respond to the notice in accordance with the Public Service Commission's General Order dated September 4, 2014, or any subsequent related order.&para; D. A cooperative shall charge a broadband affiliate, broadband service provider, or broadband operator for the construction, installation, operation, use, and maintenance of those parts of its electric delivery system that are used or may be reserved for use by the broadband affiliate, broadband service provider, or broadband operator for the provision of broadband services. Any lease of facilities by a cooperative to a broadband affiliate that includes the use of the cooperative's poles shall include a pole attachment fee to be paid by the broadband affiliate to the cooperative. The fee charged by the cooperative to the broadband affiliate shall be the same amount as the pole attachment fee charged by the cooperative to any other broadband operator.&para; E. A cooperative shall not do any of the following:&para; (1) Use its electric energy sales revenue to subsidize the provision of broadband services to the public by a broadband affiliate or other broadband operator.&para; (2) Allow the installation or operation of a broadband system on its electric delivery system by a broadband affiliate or other broadband operator to diminish the reliability of the electric delivery system.&para; (3) Require any person to purchase broadband services from a broadband affiliate or other broadband operator, as a condition of receiving or continuing to receive electric energy from the cooperative.&para; (4) Disconnect, or threaten to disconnect, electric service to any customer due to the customer's failure to pay for broadband services provided to the customer by a broadband affiliate or other broadband operator.&para; F. A cooperative may make capital investments in a broadband affiliate, issue bonds on behalf of a broadband affiliate, make loans to a broadband affiliate at fair market rate, and enter into loan guarantees for the benefit of a broadband affiliate, all of which may be in such amounts and on such terms as the cooperative determines to be prudent, subject to the requirements established by the Public Service Commission's General Orders dated March 18, 1994, and November 13, 1996, or any subsequent related orders.&para; G. As used in this Section:&para; (1) ""Broadband affiliate"" means any entity that meets all of the following criteria:&para; (a) Is wholly or partially owned by a cooperative.&para; (b) Is formed to own or operate a broadband system or provide broadband high-speed internet services.&para; (2) ""Broadband operator"" means a broadband service provider that owns or operates a broadband system on a cooperative's electric delivery system with the cooperative's consent.&para; (3) ""Broadband service provider"" means an entity that provides broadband services to another on a wholesale basis or to an end-use customer on a retail basis.&para; (4) ""Broadband services"" means any service, using any equipment or technology, including wireline or fixed wireless broadband internet service, that consists of or includes the provision of or connectivity to a high-speed, high-capacity transmission medium meeting the Federal Communications Commission's benchmark of at least twenty-five megabits per second download and three megabits per second upload, or any subsequent benchmark determined by the Federal Communications Commission, that can carry signals from or to multiple sources and that does either of the following:&para; (a) Is used to provide access to the internet.&para; (b) Provides computer processing, information storage, information content or protocol conversion, including any service applications or information service provided over such high-speed access service. As used in this Part, ""broadband services"" shall also include video services, Voice over Internet Protocol services, wireless services, and internet protocol-enabled services.&para; (5) ""Broadband system"" means a facility used to deliver broadband internet access service as defined in 47 CFR 8.1 and other broadband services.&para; (6) ""Electric delivery system"" means the poles, lines, materials, equipment, servitudes, and other facilities or properties used by a cooperative. On March 1, 2021, and every March thereafter, each cooperative, or the statewide or trade association of each cooperative, shall submit a written report to the Senate Committee on Commerce, Consumer Protection and International Affairs and the House Committee on Commerce regarding any impediments to providing broadband high-speed internet access to rural residents. The information in the report shall include, at a minimum, the number of broadband affiliates and broadband service providers who have requested to use a cooperative's electric delivery system and the number of broadband operators, including any broadband affiliate, who have accessed a cooperative's electric delivery system to deploy broadband to rural residents in the state.","Authorizes electric cooperatives to allow broadband service providers to use their delivery systems to provide broadband services, and requires cooperatives that do so to submit annual written reports to the Senate Committee on Commerce, Consumer Protection and International Affairs and the House Committee on Commerce regarding any impediments to providing broadband services to rural residents, starting March 1, 2021. The reports must include the number of broadband providers and affiliates that requested to use or have used a cooperative’s delivery system to deploy broadband to rural residents in the state."
Louisiana,2020,La. Stat. Ann. 12:430.1,Definition - Broadband,FCC,Cooperatives; provision of broadband services; servitudes," (4) ""Broadband services"" means any service, using any equipment or technology, including wireline or fixed wireless broadband internet service, that consists of or includes the provision of or connectivity to a high-speed, high-capacity transmission medium meeting the Federal Communications Commission's benchmark of at least twenty-five megabits per second download and three megabits per second upload, or any subsequent benchmark determined by the Federal Communications Commission, that can carry signals from or to multiple sources and that does either of the following:&para; (a) Is used to provide access to the internet.&para; (b) Provides computer processing, information storage, information content or protocol conversion, including any service applications or information service provided over such high-speed access service. As used in this Part, ""broadband services"" shall also include video services, Voice over Internet Protocol services, wireless services, and internet protocol-enabled services.",Defines “broadband service” as internet service with transmissions speeds of at least 25 megabits per second (Mbps) for downloads and 3 Mbps for uploads to align with Federal Communications Commission standards.
